date,visitors,pageviews,sessions,bounced_sessions,avg_session_duration_secs,awards_week,awards_night
2017-01-01,9611,21407,10196,6490,86,0,0
2017-01-02,10752,25658,11350,7055,100,0,0
2017-01-03,11425,27062,12215,7569,92,0,0
2017-01-04,13098,29189,13852,8929,90,0,0
2017-01-05,12234,28288,12990,8105,95,0,0
2017-01-06,11461,28022,12309,7500,95,0,0
2017-01-07,11183,27491,11993,7287,94,0,0
2017-01-08,16265,38529,17361,10587,84,0,0
2017-01-09,17852,40698,18914,11697,87,0,0
2017-01-10,14211,33218,15124,9270,96,0,0
2017-01-11,13456,30704,14397,8922,99,0,0
2017-01-12,13616,31559,14613,9227,98,0,0
2017-01-13,11880,27526,12805,8148,97,0,0
2017-01-14,11888,27940,12608,7804,93,0,0
2017-01-15,12706,29109,13416,8349,96,0,0
2017-01-16,12691,30284,13525,8282,100,0,0
2017-01-17,13260,33596,14260,8514,121,0,0
2017-01-18,14483,36586,15809,9494,117,0,0
2017-01-19,13551,31964,14694,9118,104,0,0
2017-01-20,13215,32339,14083,8609,99,0,0
2017-01-21,12578,32504,13725,8135,101,0,0
2017-01-22,16502,42656,17814,10570,93,0,0
2017-01-23,14620,35936,15755,9463,106,0,0
2017-01-24,17787,43392,19070,11845,106,0,0
2017-01-25,15447,38741,16650,10094,112,0,0
2017-01-26,15211,35885,16507,10184,111,0,0
2017-01-27,14007,32563,15147,9337,104,0,0
2017-01-28,12950,30170,13920,8861,101,0,0
2017-01-29,16137,35206,17316,11180,91,0,0
2017-01-30,18765,45298,20142,12442,105,0,0
2017-01-31,35148,89209,38493,24474,104,0,0
2017-02-01,28565,69292,31107,19408,98,0,0
2017-02-02,27502,63795,29756,18955,92,0,0
2017-02-03,22888,54418,24902,15676,102,0,0
2017-02-04,25069,69341,27585,16849,95,0,0
2017-02-05,30728,84077,33575,20307,100,0,0
2017-02-06,34723,88352,38058,22957,104,1,0
2017-02-07,47583,122424,52246,31531,108,1,0
2017-02-08,52279,133884,57599,34946,104,1,0
2017-02-09,73648,191472,81432,49926,108,1,0
2017-02-10,91058,230302,99229,59072,104,1,0
2017-02-11,133362,346375,145977,82930,105,1,0
2017-02-12,1930245,5406421,2254973,1190175,162,1,1
2017-02-13,1057729,2926094,1150572,694831,113,1,0
2017-02-14,213939,526079,229644,149522,102,1,0
2017-02-15,105345,257780,113153,73663,101,1,0
2017-02-16,72888,176323,78087,52100,102,0,0
2017-02-17,62042,137206,66572,46108,95,0,0
2017-02-18,56309,122892,60790,42517,93,0,0
2017-02-19,45545,94898,48812,34345,90,0,0
2017-02-20,36105,76531,38674,27324,92,0,0
2017-02-21,32413,67242,34335,23908,92,0,0
2017-02-22,29955,65302,31991,22189,93,0,0
2017-02-23,25603,55174,27515,19275,92,0,0
2017-02-24,23074,47921,24605,17384,84,0,0
2017-02-25,26718,49579,28030,20874,74,0,0
2017-02-26,33563,60222,35116,25790,69,0,0
2017-02-27,27790,53034,29224,21261,77,0,0
2017-02-28,19932,38080,21147,15222,80,0,0
2017-03-01,17077,33835,18085,12738,87,0,0
2017-03-02,21703,38318,22885,17530,68,0,0
2017-03-03,21421,39240,22932,17378,73,0,0
2017-03-04,16004,31000,17007,12417,79,0,0
2017-03-05,15142,29655,16135,11606,84,0,0
2017-03-06,14735,28074,15733,11346,81,0,0
2017-03-07,12773,24940,13571,9838,82,0,0
2017-03-08,11539,23070,12432,8892,87,0,0
2017-03-09,11395,23221,12217,8667,83,0,0
2017-03-10,10794,21259,11382,8175,86,0,0
2017-03-11,11855,25447,12524,8706,81,0,0
2017-03-12,9602,19257,10334,7414,83,0,0
2017-03-13,9797,19886,10432,7483,96,0,0
2017-03-14,10665,20742,11257,8190,86,0,0
2017-03-15,9546,19267,10205,7397,96,0,0
2017-03-16,8789,17184,9291,6718,83,0,0
2017-03-17,8242,15837,8790,6308,85,0,0
2017-03-18,8303,16195,8767,6314,89,0,0
2017-03-19,8990,17393,9573,6931,82,0,0
2017-03-20,8511,16708,9077,6560,87,0,0
2017-03-21,12251,21578,12929,9971,73,0,0
2017-03-22,9377,17646,9899,7190,86,0,0
2017-03-23,8615,16532,9261,6743,84,0,0
2017-03-24,7789,15290,8334,6033,90,0,0
2017-03-25,7602,14023,8081,6030,76,0,0
2017-03-26,7633,14420,8076,5961,82,0,0
2017-03-27,7947,14722,8454,6224,76,0,0
2017-03-28,8096,14785,8517,6388,81,0,0
2017-03-29,7968,15487,8531,6241,93,0,0
2017-03-30,7624,15014,8122,5836,87,0,0
2017-03-31,7373,14068,7817,5665,69,0,0
2017-04-01,7627,13840,7987,5976,78,0,0
2017-04-02,7970,15161,8488,6203,82,0,0
2017-04-03,7827,15386,8361,5994,80,0,0
2017-04-04,7359,15506,7811,5510,83,0,0
2017-04-05,7201,13538,7526,5521,80,0,0
2017-04-06,7249,13767,7605,5377,80,0,0
2017-04-07,6950,13052,7292,5254,71,0,0
2017-04-08,6262,11439,6648,4947,68,0,0
2017-04-09,6347,12067,6701,4855,78,0,0
2017-04-10,6337,12033,6719,4883,75,0,0
2017-04-11,7011,13225,7513,5456,74,0,0
2017-04-12,8038,13900,8415,6181,62,0,0
2017-04-13,10204,17707,10830,8061,62,0,0
2017-04-14,10322,17967,10990,8253,67,0,0
2017-04-15,8806,15271,9285,6988,62,0,0
2017-04-16,21469,37310,22710,16452,67,0,0
2017-04-17,14149,27777,14922,10188,73,0,0
2017-04-18,10477,20391,11127,7851,74,0,0
2017-04-19,35249,50045,36246,30063,35,0,0
2017-04-20,13080,23052,13730,10242,59,0,0
2017-04-21,11195,20578,11770,8228,68,0,0
2017-04-22,8363,14911,8892,6258,66,0,0
2017-04-23,8071,14772,8486,6231,69,0,0
2017-04-24,8548,15685,8981,6587,72,0,0
2017-04-25,8179,14435,8633,6410,60,0,0
2017-04-26,7717,14183,8186,5975,67,0,0
2017-04-27,7489,13680,7869,5706,67,0,0
2017-04-28,7011,13079,7342,5301,69,0,0
2017-04-29,10897,16223,11306,9440,36,0,0
2017-04-30,8115,14750,8418,6104,61,0,0
2017-05-01,7923,14731,8382,5982,70,0,0
2017-05-02,7653,13879,8156,5918,67,0,0
2017-05-03,12064,21432,12821,9369,69,0,0
2017-05-04,9065,17003,9524,6938,72,0,0
2017-05-05,8668,15453,9066,6757,66,0,0
2017-05-06,7559,12839,8032,6130,59,0,0
2017-05-07,7065,12279,7410,5465,63,0,0
2017-05-08,7589,13694,7946,5815,67,0,0
2017-05-09,7908,14439,8440,6023,69,0,0
2017-05-10,7363,13436,7787,5634,67,0,0
2017-05-11,7019,12511,7409,5431,64,0,0
2017-05-12,6703,12084,7098,5281,64,0,0
2017-05-13,6279,11498,6524,4736,69,0,0
2017-05-14,5789,11085,6111,4466,71,0,0
2017-05-15,6356,11424,6691,4928,68,0,0
2017-05-16,6376,11956,6735,4848,75,0,0
2017-05-17,1462,2493,1516,1002,94,0,0
2017-05-18,4263,6743,4490,3042,69,0,0
2017-05-19,4018,6443,4220,2364,78,0,0
2017-05-20,3444,5451,3610,1861,83,0,0
2017-05-21,4776,7596,5018,2711,83,0,0
2017-05-22,5434,8280,5687,3141,77,0,0
2017-05-23,4157,6434,4412,2466,80,0,0
2017-05-24,3766,6088,3986,2163,90,0,0
2017-05-25,4317,7003,4582,2529,84,0,0
2017-05-26,4406,7131,4729,2613,81,0,0
2017-05-27,4031,6774,4272,2474,76,0,0
2017-05-28,5186,12019,5566,2796,111,0,0
2017-05-29,3972,7122,4245,2365,87,0,0
2017-05-30,5343,8187,5624,2816,85,0,0
2017-05-31,5060,8021,5307,2805,81,0,0
2017-06-01,3998,6474,4233,2396,78,0,0
2017-06-02,3761,5890,3972,2307,73,0,0
2017-06-03,3794,6006,3967,2282,78,0,0
2017-06-04,3907,6189,4103,2351,70,0,0
2017-06-05,5109,8047,5355,2833,76,0,0
2017-06-06,4786,9770,5054,2091,84,0,0
2017-06-07,5010,11189,5290,1746,80,0,0
2017-06-08,5338,9638,5648,2436,77,0,0
2017-06-09,4948,8029,5214,2716,86,0,0
2017-06-10,4786,7389,5034,2599,75,0,0
2017-06-11,5219,8070,5513,2783,77,0,0
2017-06-12,5631,8580,5962,3023,84,0,0
2017-06-13,5178,8196,5504,2803,92,0,0
2017-06-14,5952,9445,6368,3146,85,0,0
2017-06-15,5287,8453,5597,2798,83,0,0
2017-06-16,4749,7681,5050,2582,78,0,0
2017-06-17,4515,6917,4743,2464,78,0,0
2017-06-18,4738,7482,4998,2497,84,0,0
2017-06-19,5153,8225,5481,2727,87,0,0
2017-06-20,5278,8230,5586,2828,83,0,0
2017-06-21,5224,8407,5518,2794,90,0,0
2017-06-22,5065,8053,5341,2691,82,0,0
2017-06-23,5043,7795,5313,2687,83,0,0
2017-06-24,5261,8453,5551,2743,98,0,0
2017-06-25,6300,9476,6584,3431,79,0,0
2017-06-26,6453,9981,6805,3477,82,0,0
2017-06-27,6162,9714,6531,3314,90,0,0
2017-06-28,5933,9964,6335,3176,95,0,0
2017-06-29,6410,9903,6725,3391,80,0,0
2017-06-30,5818,9003,6129,3224,75,0,0
2017-07-01,6168,9049,6472,3427,73,0,0
2017-07-02,7661,11298,7985,3519,89,0,0
2017-07-03,17656,32203,23606,8976,65,0,0
2017-07-04,15108,24464,18655,9020,56,0,0
2017-07-05,6976,11251,7676,3904,69,0,0
2017-07-06,6162,9883,6635,3524,77,0,0
2017-07-07,5866,9138,6285,3469,80,0,0
2017-07-08,5802,8911,6149,3355,69,0,0
2017-07-09,5786,9016,6131,3266,76,0,0
2017-07-10,5573,8960,5958,3136,81,0,0
2017-07-11,5949,9433,6286,3284,83,0,0
2017-07-12,6848,10583,7201,4246,72,0,0
2017-07-13,5618,9053,5967,3174,78,0,0
2017-07-14,6162,9682,6542,3200,82,0,0
2017-07-15,6425,9757,6726,3370,82,0,0
2017-07-16,5923,9198,6236,3281,76,0,0
2017-07-17,6098,9840,6509,3340,86,0,0
2017-07-18,5624,9063,5975,3211,81,0,0
2017-07-19,6170,8922,5872,2909,84,0,0
2017-07-20,6578,10065,6648,3390,79,0,0
2017-07-21,6650,10223,6981,3742,76,0,0
2017-07-22,5125,7853,5370,3080,71,0,0
2017-07-23,5381,8514,5647,3084,76,0,0
2017-07-24,5381,8742,5699,3200,87,0,0
2017-07-25,5481,8973,5845,3572,80,0,0
2017-07-26,5468,9092,5851,4079,78,0,0
2017-07-27,5519,9154,5810,4087,69,0,0
2017-07-28,5274,8907,5552,3806,77,0,0
2017-07-29,9232,15138,10018,7018,60,0,0
2017-07-30,7637,12684,8190,5829,60,0,0
2017-07-31,5929,10088,6300,4380,77,0,0
2017-08-01,5822,9805,6188,4351,80,0,0
2017-08-02,6357,11135,6832,3701,97,0,0
2017-08-03,5559,9464,5962,3287,98,0,0
2017-08-04,5429,9176,5776,3177,97,0,0
2017-08-05,5053,8344,5320,2849,87,0,0
2017-08-06,5281,8486,5611,2955,86,0,0
2017-08-07,5671,9509,6047,3366,86,0,0
2017-08-08,5832,9782,6230,3380,90,0,0
2017-08-09,5987,9949,6384,3464,95,0,0
2017-08-10,5720,9061,6109,3566,77,0,0
2017-08-11,5245,8404,5533,3107,81,0,0
2017-08-12,4619,7360,4860,2761,69,0,0
2017-08-13,4727,7524,4972,2825,74,0,0
2017-08-14,5412,8659,5704,3145,85,0,0
2017-08-15,6186,9708,6495,3927,75,0,0
2017-08-16,5455,8786,5764,3250,79,0,0
2017-08-17,5718,9480,6084,3487,82,0,0
2017-08-18,6087,9980,6405,3551,83,0,0
2017-08-19,5568,9131,5898,3159,87,0,0
2017-08-20,4899,8030,5152,2872,81,0,0
2017-08-21,4888,8049,5141,2874,91,0,0
2017-08-22,5395,8969,5719,3253,83,0,0
2017-08-23,5723,9378,6079,3397,76,0,0
2017-08-24,7602,11502,8051,4367,67,0,0
2017-08-25,5282,8318,5537,3250,83,0,0
2017-08-26,4382,7030,4586,2666,87,0,0
2017-08-27,5706,8975,6006,3355,81,0,0
2017-08-28,6778,11016,7183,4012,80,0,0
2017-08-29,6446,10640,6870,3787,84,0,0
2017-08-30,8170,12859,8490,4752,87,0,0
2017-08-31,14405,23969,16607,5056,81,0,0
2017-09-01,7778,12236,8290,3807,89,0,0
2017-09-02,9566,14989,10327,4489,101,0,0
2017-09-03,6866,10915,7273,3964,76,0,0
2017-09-04,6103,10127,6529,3482,83,0,0
2017-09-05,5872,9460,6193,3506,89,0,0
2017-09-06,6691,10706,7050,3772,90,0,0
2017-09-07,6152,10516,6529,3719,96,0,0
2017-09-08,5709,9391,5984,3453,88,0,0
2017-09-09,5336,8745,5682,3173,87,0,0
2017-09-10,5072,8731,5363,3004,94,0,0
2017-09-11,5659,9635,5974,3425,97,0,0
2017-09-12,8168,12415,8574,4649,76,0,0
2017-09-13,11927,17765,13596,5696,71,0,0
2017-09-14,9411,14138,10376,4925,72,0,0
2017-09-15,7285,11905,7861,4238,84,0,0
2017-09-16,6909,11067,7454,3800,77,0,0
2017-09-17,8802,14027,9378,4935,77,0,0
2017-09-18,9052,14818,9587,5133,82,0,0
2017-09-19,9180,16371,9803,5451,83,0,0
2017-09-20,7399,12125,7840,4342,84,0,0
2017-09-21,11407,18665,13165,6009,98,0,0
2017-09-22,6924,15042,7387,2739,79,0,0
2017-09-23,5928,12882,6266,2328,84,0,0
2017-09-24,6314,14187,6671,2139,82,0,0
2017-09-25,8801,19678,9717,2513,84,0,0
2017-09-26,10965,25433,11990,3303,91,0,0
2017-09-27,9788,22289,10700,2883,81,0,0
2017-09-28,9407,21335,10009,2708,82,0,0
2017-09-29,7889,17578,8401,2584,89,0,0
2017-09-30,8455,19058,8988,2439,86,0,0
2017-10-01,7768,16586,8196,3270,82,0,0
2017-10-02,8447,18685,8908,3067,81,0,0
2017-10-03,24449,60005,26587,3558,77,0,0
2017-10-04,66639,159403,71386,6175,70,0,0
2017-10-05,18708,28073,19550,9734,72,0,0
2017-10-06,11225,17398,11956,6328,75,0,0
2017-10-07,11678,19278,12488,6241,80,0,0
2017-10-08,11632,18643,12397,6411,79,0,0
2017-10-09,11285,17693,11810,6396,84,0,0
2017-10-10,18833,31075,21732,10210,93,0,0
2017-10-11,19938,28488,21118,10648,79,0,0
2017-10-12,13867,20706,14557,7889,84,0,0
2017-10-13,10560,17176,11429,6120,89,0,0
2017-10-14,7963,12832,8544,4772,81,0,0
2017-10-15,7745,12935,8294,4681,92,0,0
2017-10-16,9728,17110,10348,5606,94,0,0
2017-10-17,14227,23347,15085,7012,96,0,0
2017-10-18,11958,19512,12498,6267,89,0,0
2017-10-19,10365,17425,11061,6002,80,0,0
2017-10-20,21571,30482,22605,7494,70,0,0
2017-10-21,15468,25629,16531,3938,78,0,0
2017-10-22,12146,20556,12851,3808,81,0,0
2017-10-23,11156,19346,11927,3914,85,0,0
2017-10-24,10320,17702,10962,3838,87,0,0
2017-10-25,11122,19449,11764,3834,83,0,0
2017-10-26,10887,18188,11510,3494,85,0,0
2017-10-27,9273,15493,9850,3356,84,0,0
2017-10-28,7669,13627,8149,4522,87,0,0
2017-10-29,8507,15074,9065,5012,91,0,0
2017-10-30,9801,16841,10331,5687,83,0,0
2017-10-31,13702,20442,14434,8629,66,0,0
2017-11-01,9577,16012,10136,5959,81,0,0
2017-11-02,9264,15316,9775,5620,86,0,0
2017-11-03,14951,21692,15654,8720,76,0,0
2017-11-04,8603,13874,9067,5077,79,0,0
2017-11-05,10050,16605,10761,5763,89,0,0
2017-11-06,9826,16315,10258,5856,83,0,0
2017-11-07,9852,17199,10464,5877,99,0,0
2017-11-08,11223,18215,11982,6788,78,0,0
2017-11-09,10185,16576,10741,6183,81,0,0
2017-11-10,20194,53728,25540,13039,125,0,0
2017-11-11,15318,30605,17480,9772,86,0,0
2017-11-12,11899,21547,12730,6927,89,0,0
2017-11-13,12323,20598,12971,7145,86,0,0
2017-11-14,14072,22197,14916,8339,74,0,0
2017-11-15,23359,33055,24581,13237,64,0,0
2017-11-16,28059,41746,29447,15145,78,0,0
2017-11-17,19892,31248,21184,11190,80,0,0
2017-11-18,12230,19518,12918,7134,78,0,0
2017-11-19,14662,24267,15558,8783,80,0,0
2017-11-20,14931,25053,15967,9094,79,0,0
2017-11-21,12791,21783,13754,7734,82,0,0
2017-11-22,12236,20360,13002,7301,79,0,0
2017-11-23,10864,18114,11592,6672,77,0,0
2017-11-24,23292,40067,24849,13981,87,0,0
2017-11-25,18064,31300,19562,11352,81,0,0
2017-11-26,18299,31854,19972,11526,80,0,0
2017-11-27,33554,59979,37230,21251,82,0,0
2017-11-28,651685,1356165,736434,393993,103,1,1
2017-11-29,151892,291230,166307,77766,94,1,0
2017-11-30,69378,130091,75856,35152,95,0,0
2017-12-01,43886,81894,47014,23037,92,0,0
2017-12-02,33267,64605,36312,17419,94,0,0
2017-12-03,30193,57946,32674,15599,97,0,0
2017-12-04,32442,57595,34667,16284,95,0,0
2017-12-05,28658,54728,30829,14484,104,0,0
2017-12-06,23004,44176,24668,12312,99,0,0
2017-12-07,19854,38197,21405,10720,101,0,0
2017-12-08,18452,35631,19933,9977,94,0,0
2017-12-09,17505,32535,18859,9285,91,0,0
2017-12-10,17192,31925,18287,9170,95,0,0
2017-12-11,20143,38096,21751,10650,90,0,0
2017-12-12,19649,35942,21042,10166,94,0,0
2017-12-13,20747,38030,22322,10599,104,0,0
2017-12-14,17891,31010,19140,9475,90,0,0
2017-12-15,18934,31789,20364,9981,87,0,0
2017-12-16,17759,29059,19142,9675,86,0,0
2017-12-17,19076,31423,20321,11657,77,0,0
2017-12-18,15658,27831,16734,8719,91,0,0
2017-12-19,16432,40908,17607,7464,102,0,0
2017-12-20,14018,35375,15251,6441,109,0,0
2017-12-21,14476,37403,15696,6467,112,0,0
2017-12-22,12812,33500,13999,5897,101,0,0
2017-12-23,13783,34410,14517,5794,98,0,0
2017-12-24,13571,33229,14474,5964,92,0,0
2017-12-25,10744,27092,11641,5055,97,0,0
2017-12-26,13080,33811,14136,6014,106,0,0
2017-12-27,17118,42281,18299,6566,105,0,0
2017-12-28,19826,47039,21136,7609,110,0,0
2017-12-29,15955,41543,17258,6741,106,0,0
2017-12-30,18568,50253,20021,7026,102,0,0
2017-12-31,45897,121293,48383,14322,69,0,0
2018-01-01,17539,46598,19083,7430,100,0,0
2018-01-02,19345,50586,20690,8452,106,0,0
2018-01-03,17934,49068,19334,7278,117,0,0
2018-01-04,25557,66914,27702,10090,109,0,0
2018-01-05,22959,58317,24544,9548,112,0,0
2018-01-06,19641,49765,21145,8634,106,0,0
2018-01-07,30527,76914,32303,12127,106,0,0
2018-01-08,28132,75583,30176,11359,113,0,0
2018-01-09,24612,67847,26838,10204,115,0,0
2018-01-10,29739,74447,32079,12479,113,0,0
2018-01-11,30146,72655,32374,12681,108,0,0
2018-01-12,23929,59126,25910,10561,112,0,0
2018-01-13,22836,56649,24808,9559,107,0,0
2018-01-14,25011,60700,27087,10776,106,0,0
2018-01-15,23562,58594,25342,9924,114,0,0
2018-01-16,27240,68125,29215,11394,113,0,0
2018-01-17,34318,94367,38031,13783,118,0,0
2018-01-18,28746,71147,31083,12396,114,0,0
2018-01-19,27819,68975,29878,11790,112,0,0
2018-01-20,27820,68689,30472,12003,106,0,0
2018-01-21,43352,105697,46839,18464,108,1,0
2018-01-22,49380,120459,53238,22621,108,1,0
2018-01-23,68206,166205,74059,29906,108,1,0
2018-01-24,68203,125934,74786,36563,98,1,0
2018-01-25,108074,188772,113915,59589,91,1,0
2018-01-26,148597,263485,162553,83520,90,1,0
2018-01-27,218441,400447,239369,115879,93,1,1
2018-01-28,1609729,5446407,1934941,612022,221,1,0
2018-01-29,727530,1841975,810777,314663,152,1,0
2018-01-30,192235,454551,210881,88760,152,1,0
2018-01-31,97311,221899,105589,46090,150,1,0
2018-02-01,71273,154508,76868,35098,137,0,0
2018-02-02,57626,121012,62334,29541,129,0,0
2018-02-03,49644,102467,53676,25921,132,0,0
2018-02-04,42646,83790,46103,22683,123,0,0
2018-02-05,33561,65429,35648,18074,127,0,0
2018-02-06,29671,58188,31942,16112,128,0,0
2018-02-07,26192,51669,28333,14456,127,0,0
2018-02-08,24574,45856,26199,13446,120,0,0
2018-02-09,22637,41945,24302,12569,114,0,0
2018-02-10,20196,37309,21866,11554,113,0,0
2018-02-11,20338,37770,21661,11446,110,0,0
2018-02-12,18409,32714,19975,10999,103,0,0
2018-02-13,19598,31984,20994,11577,99,0,0
2018-02-14,18250,28243,19391,11104,87,0,0
2018-02-15,16454,26273,17483,10062,89,0,0
2018-02-16,15437,24523,16367,9639,85,0,0
2018-02-17,14342,22603,15224,8925,81,0,0
2018-02-18,13962,22198,14881,8923,81,0,0
2018-02-19,14807,23125,15714,9831,78,0,0
2018-02-20,14557,22345,15249,9098,81,0,0
2018-02-21,15137,24313,16096,9478,89,0,0
2018-02-22,18111,27823,19264,10700,86,0,0
2018-02-23,14628,23056,15644,9082,86,0,0
2018-02-24,14230,21663,15125,8576,80,0,0
2018-02-25,15115,23188,16015,9499,77,0,0
2018-02-26,15376,23608,16312,9722,82,0,0
2018-02-27,14965,23642,15825,9437,83,0,0
2018-02-28,14252,22652,15049,8885,86,0,0
2018-03-01,14424,22484,15255,9077,83,0,0
2018-03-02,14341,21964,15224,9062,77,0,0
2018-03-03,13462,20612,14217,8485,74,0,0
2018-03-04,20413,30671,21564,13342,70,0,0
2018-03-05,17573,27105,18688,11439,75,0,0
2018-03-06,15571,23846,16543,9701,78,0,0
2018-03-07,13895,21700,14866,8974,78,0,0
2018-03-08,18045,36689,19241,7047,83,0,0
2018-03-09,16433,32319,17298,7181,78,0,0
2018-03-10,13153,19936,13967,8523,76,0,0
2018-03-11,13166,20129,13972,8420,77,0,0
2018-03-12,14960,22542,15710,9629,76,0,0
2018-03-13,12650,18902,13167,7803,81,0,0
2018-03-14,12623,18381,13029,7617,80,0,0
2018-03-15,11401,16916,11832,6980,77,0,0
2018-03-16,11065,15929,11447,6749,72,0,0
2018-03-17,10333,14987,10714,6251,77,0,0
2018-03-18,12536,17448,12801,7997,70,0,0
2018-03-19,12171,17647,12598,7467,76,0,0
2018-03-20,11870,17751,12335,7267,86,0,0
2018-03-21,11377,16460,11654,6892,79,0,0
2018-03-22,11892,17304,12215,7116,84,0,0
2018-03-23,10390,15230,10893,6398,79,0,0
2018-03-24,13761,18858,14345,7061,67,0,0
2018-03-25,11217,16236,11672,6609,76,0,0
2018-03-26,11018,16205,11400,6655,84,0,0
2018-03-27,11937,17194,12467,7199,74,0,0
2018-03-28,11564,16114,11798,6787,72,0,0
2018-03-29,10577,15037,11006,6504,78,0,0
2018-03-30,14669,19334,15052,7558,74,0,0
2018-03-31,12940,17515,13226,7426,68,0,0
2018-04-01,10324,14529,10544,6237,75,0,0
2018-04-02,10708,15752,11194,6693,78,0,0
2018-04-03,11391,16220,11647,6826,71,0,0
2018-04-04,10868,15648,11330,6699,74,0,0
2018-04-05,12621,17980,13104,8113,69,0,0
2018-04-06,14754,19798,15095,7691,71,0,0
2018-04-07,13945,18796,14281,7569,70,0,0
2018-04-08,12451,17427,12844,7350,71,0,0
2018-04-09,13034,19018,13480,7722,74,0,0
2018-04-10,24432,35926,25403,13406,81,0,0
2018-04-11,22569,33376,23297,11262,80,0,0
2018-04-12,16688,24528,17327,9768,75,0,0
2018-04-13,13873,20125,14311,7986,75,0,0
2018-04-14,13482,18419,13835,7957,65,0,0
2018-04-15,16003,22607,16643,9557,67,0,0
2018-04-16,15870,22296,16319,9604,71,0,0
2018-04-17,15965,21951,16287,9116,72,0,0
2018-04-18,29388,42159,30690,14956,97,0,0
2018-04-19,19914,27166,20472,12028,69,0,0
2018-04-20,19957,26827,21019,11067,61,0,0
2018-04-21,20366,26620,21546,10739,55,0,0
2018-04-22,17963,23655,18978,9778,58,0,0
